date,observed_sewer_outflow_ml
2011-01-01,59.46191607834921
2011-01-02,98.92232660229449
2011-01-03,150.6010638856765
2011-01-04,192.0189908671488
2011-01-05,260.36204210286746
2011-01-06,277.44587993920055
2011-01-07,266.32693376984304
2011-01-08,276.0774651697298
2011-01-09,354.99798470400765
2011-01-10,358.29750552362924
2011-01-11,325.61091363097506
2011-01-12,331.9592082602187
2011-01-13,315.44541771754257
2011-01-14,293.97073997763187
2011-01-15,289.0717165942923
2011-01-16,412.55291768895574
2011-01-17,455.0895101474776
2011-01-18,430.1348259704906
2011-01-19,401.9288607844178
2011-01-20,418.3937554582094
2011-01-21,413.6157087599376
2011-01-22,424.75716311073336
2011-01-23,398.0935287872952
2011-01-24,431.75425702749874
2011-01-25,384.86401515380993
2011-01-26,349.4704509307745
2011-01-27,365.65072400140764
2011-01-28,348.1345331158958
2011-01-29,534.4652028203038
2011-01-30,463.22360484443294
2011-01-31,487.9787198594845
2011-02-01,423.4526928670213
2011-02-02,440.14256819607476
2011-02-03,406.97991114684487
2011-02-04,379.86037805336855
2011-02-05,352.46173613393296
2011-02-06,338.1966856553847
2011-02-07,315.42510700375203
2011-02-08,289.2353314620061
2011-02-09,286.3963177375721
2011-02-10,266.10122641517444
2011-02-11,263.3583251922965
2011-02-12,257.5082507794945
2011-02-13,246.28388421694885
2011-02-14,237.48121593085943
2011-02-15,244.30179308628328
2011-02-16,231.22678563800363
2011-02-17,234.57926695596535
2011-02-18,225.60998474550965
2011-02-19,235.17147157162742
2011-02-20,227.52852131550438
2011-02-21,220.61378521875662
2011-02-22,231.51859629113102
2011-02-23,216.749461691908
2011-02-24,277.06196860744893
2011-02-25,263.1466450989592
2011-02-26,283.5020069300519
2011-02-27,273.79883539676564
2011-02-28,247.79112793716496
2011-03-01,247.82133212206085
2011-03-02,239.75657075113307
2011-03-03,248.16520868275592
2011-03-04,236.0993458367164
2011-03-05,241.23272533939547
2011-03-06,227.1238576304643
2011-03-07,237.60446241678451
2011-03-08,235.4774996074289
2011-03-09,222.66639710558522
2011-03-10,229.8123182156384
2011-03-11,222.56406868110287
2011-03-12,224.49696823288275
2011-03-13,223.67727977612557
2011-03-14,227.41871160579677
2011-03-15,227.98234745851323
2011-03-16,389.25447158029766
2011-03-17,363.5650841699698
2011-03-18,336.9904864838992
2011-03-19,327.5902834278686
2011-03-20,288.5547317452697
2011-03-21,275.1523095812367
2011-03-22,261.4306644984272
2011-03-23,259.1088919275352
2011-03-24,245.90124553967476
2011-03-25,244.30868696342606
2011-03-26,234.36258127396297
2011-03-27,267.9325234711254
2011-03-28,255.50809739971365
2011-03-29,245.1696338716318
2011-03-30,243.8137279945435
2011-03-31,247.32851423426047
2011-04-01,229.16757901720584
2011-04-02,217.74371443923582
2011-04-03,214.18461532468584
2011-04-04,209.45037951321052
2011-04-05,203.93975615010578
2011-04-06,204.86999852030894
2011-04-07,200.73664479644202
2011-04-08,195.68928962060647
2011-04-09,199.46737822144098
2011-04-10,202.27066299691901
2011-04-11,200.519377264495
2011-04-12,196.38180661342625
2011-04-13,269.386318303429
2011-04-14,251.66721299988112
2011-04-15,244.08156011426425
2011-04-16,236.62193124633438
2011-04-17,227.21586017193152
2011-04-18,224.04970419920542
2011-04-19,214.06143886691905
2011-04-20,277.6596823969649
2011-04-21,267.9340232330856
2011-04-22,250.67102447571813
2011-04-23,234.00204953524505
2011-04-24,225.51461201561966
2011-04-25,213.12755143761993
2011-04-26,209.85892606171032
2011-04-27,256.3834640394816
2011-04-28,242.07741085417388
2011-04-29,232.9469564629541
2011-04-30,225.59574270546688
2011-05-01,294.6853094835929
2011-05-02,277.2293499287747
2011-05-03,274.37468908570355
2011-05-04,289.35873175706837
2011-05-05,269.51880108203005
2011-05-06,276.5839017954724
2011-05-07,269.1380861887429
2011-05-08,277.86214099007816
2011-05-09,443.36926478628845
2011-05-10,405.1355288046709
2011-05-11,335.03238091166065
2011-05-12,323.80435648418944
2011-05-13,335.2196272008043
2011-05-14,285.9997020544737
2011-05-15,367.05938963999125
2011-05-16,319.23012708280356
2011-05-17,355.75023805391044
2011-05-18,403.8028177903055
2011-05-19,410.26418804697727
2011-05-20,565.2576283195841
2011-05-21,508.0159926941102
2011-05-22,446.2027309667251
2011-05-23,424.8617551009067
2011-05-24,377.3581351287566
2011-05-25,331.84951703678064
2011-05-26,341.86887764444464
2011-05-27,373.60615944479497
2011-05-28,367.6929484029017
2011-05-29,335.66877392163036
2011-05-30,310.1344683040286
2011-05-31,290.63314537536843
2011-06-01,313.7401197437621
2011-06-02,344.4881103310704
2011-06-03,323.88090159315584
2011-06-04,345.3931821646515
2011-06-05,296.1242363526748
2011-06-06,337.4939127030184
2011-06-07,381.3294809973239
2011-06-08,510.02843477252173
2011-06-09,445.93165717638277
2011-06-10,494.2006620076044
2011-06-11,535.5092292236226
2011-06-12,467.2795083702362
2011-06-13,407.78271547781424
2011-06-14,360.4804818427978
2011-06-15,327.4690733075716
2011-06-16,286.5739246231137
2011-06-17,294.4903286411143
2011-06-18,255.38352970280323
2011-06-19,237.62025869442544
2011-06-20,272.16724516991326
2011-06-21,271.5040933433142
2011-06-22,256.15700787273056
2011-06-23,244.73233126253214
2011-06-24,228.66695073747385
2011-06-25,220.5061082316343
2011-06-26,210.51630587921292
2011-06-27,293.92290399978106
2011-06-28,268.3656031660516
2011-06-29,250.58734507633514
2011-06-30,237.9828028113788
2011-07-01,215.4061594055565
2011-07-02,228.7918881041584
2011-07-03,216.80197771536692
2011-07-04,209.72709191476724
2011-07-05,189.6905223955604
2011-07-06,216.5299899827582
2011-07-07,201.40691371581988
2011-07-08,236.54916386259842
2011-07-09,219.01589046354283
2011-07-10,208.97971342641443
2011-07-11,190.21318054935168
2011-07-12,198.1766817060247
2011-07-13,195.64330549080188
2011-07-14,179.37091527000337
2011-07-15,178.26428529032626
2011-07-16,192.49324028027198
2011-07-17,197.21970187569303
2011-07-18,184.30430613124847
2011-07-19,183.22670544380162
2011-07-20,171.18946459225214
2011-07-21,169.65221935998454
2011-07-22,192.83472432192107
2011-07-23,217.18941329038282
2011-07-24,213.03894502365787
2011-07-25,199.54403475107313
2011-07-26,184.58025453406256
2011-07-27,178.28746793271955
2011-07-28,222.0615192233106
2011-07-29,204.24938248485213
2011-07-30,196.439601870772
2011-07-31,185.03794513712467
2011-08-01,183.03895186848018
2011-08-02,173.07197544181253
2011-08-03,170.4125584465097
2011-08-04,167.69741340966942
2011-08-05,173.46861665157905
2011-08-06,159.77580292289593
2011-08-07,202.66066083146936
2011-08-08,194.9732582576172
2011-08-09,178.52980724116114
2011-08-10,181.40191364156934
2011-08-11,172.14370778825045
2011-08-12,182.89050503827238
2011-08-13,170.2834861009627
2011-08-14,166.81408730358592
2011-08-15,167.36092768323715
2011-08-16,196.46884127151642
2011-08-17,190.4315493036101
2011-08-18,196.66918303605956
2011-08-19,242.46956333493443
2011-08-20,233.92773809364772
2011-08-21,244.8874746808287
2011-08-22,247.51285266606183
2011-08-23,234.36398882053976
2011-08-24,210.22739428318332
2011-08-25,200.8382082032307
2011-08-26,197.42239171005312
2011-08-27,219.594406234973
2011-08-28,206.6080606396029
2011-08-29,197.95448104649165
2011-08-30,184.0054877330934
2011-08-31,188.40389925790933
2011-09-01,173.7285253572112
2011-09-02,181.47768200860668
2011-09-03,205.36080326227983
2011-09-04,278.55433638942105
2011-09-05,274.8999452949682
2011-09-06,265.44769345207027
2011-09-07,238.41955245684719
2011-09-08,238.40546382683993
2011-09-09,217.3349209935244
2011-09-10,215.50147457126346
2011-09-11,198.6158743330015
2011-09-12,182.76175995749168
2011-09-13,200.46514209898453
2011-09-14,199.657689437059
2011-09-15,182.68042703511318
2011-09-16,189.95833458454248
2011-09-17,200.62667644951813
2011-09-18,189.4794597162118
2011-09-19,226.01117754414076
2011-09-20,215.67922334149503
2011-09-21,214.15416126432433
2011-09-22,208.27118618949666
2011-09-23,187.95596088169862
2011-09-24,192.94357977319106
2011-09-25,191.3541480353693
2011-09-26,182.05569167250096
2011-09-27,188.43123679922832
2011-09-28,190.94270623186273
2011-09-29,196.01507236965045
2011-09-30,192.9274557662691
2011-10-01,181.73179632646085
2011-10-02,202.05670449086105
2011-10-03,197.18508506206575
2011-10-04,189.47265326478583
2011-10-05,182.10252148009988
2011-10-06,172.52452026553777
2011-10-07,178.33042870196485
2011-10-08,164.47362575099663
2011-10-09,159.9531991261057
2011-10-10,161.6320376028725
2011-10-11,237.72346307455183
2011-10-12,245.49301537728945
2011-10-13,241.6269602236038
2011-10-14,226.38882180179277
2011-10-15,220.99580920248016
2011-10-16,217.78204241884754
2011-10-17,220.16970046407968
2011-10-18,197.12652677392475
2011-10-19,199.85831541449122
2011-10-20,200.38298837016055
2011-10-21,195.03754841065572
2011-10-22,230.53389209515586
2011-10-23,230.25817140618338
2011-10-24,229.08357424248507
2011-10-25,217.85947497240775
2011-10-26,205.52538502181224
2011-10-27,200.53282809235412
2011-10-28,180.93830303832402
2011-10-29,180.2575966135859
2011-10-30,172.02282765364288
2011-10-31,171.88700015178924
2011-11-01,166.43806052841805
2011-11-02,180.60999225015723
2011-11-03,181.36511206162243
2011-11-04,184.27254920869342
2011-11-05,188.6100417058085
2011-11-06,190.71221773544528
2011-11-07,187.7161771663946
2011-11-08,186.45218078614522
2011-11-09,191.15303613110203
2011-11-10,184.10135312199995
2011-11-11,185.79608135348548
2011-11-12,179.243656760374
2011-11-13,190.60099078027517
2011-11-14,186.55992228046827
2011-11-15,184.4764794222296
2011-11-16,189.65167173696506
2011-11-17,189.66234164810405
2011-11-18,216.5171337358117
2011-11-19,217.34860137327422
2011-11-20,238.73986924833463
2011-11-21,243.7322057619724
2011-11-22,259.64354230560207
2011-11-23,238.03801690807367
2011-11-24,225.50687018221936
2011-11-25,226.18120953955793
2011-11-26,214.8167850956258
2011-11-27,213.80439723706522
2011-11-28,197.70306954235824
2011-11-29,201.26743682022246
2011-11-30,226.73604422246558
2011-12-01,220.05179743913044
2011-12-02,212.1713671190449
2011-12-03,206.16214735018522
2011-12-04,221.65310117019467
2011-12-05,263.3272143188513
2011-12-06,257.95910841741653
2011-12-07,254.06650508146691
2011-12-08,249.86308539677708
2011-12-09,228.37792888917016
2011-12-10,268.66248286024774
2011-12-11,252.63444063844577
2011-12-12,274.2174418004224
2011-12-13,263.08794513376745
2011-12-14,261.7255018532429
2011-12-15,240.5701384153311
2011-12-16,227.52615250221794
2011-12-17,232.03066691087062
2011-12-18,218.82676180632777
2011-12-19,219.62700080869843
2011-12-20,222.3141057219909
2011-12-21,280.72586322163164
2011-12-22,289.8305627701121
2011-12-23,289.95782576026346
2011-12-24,258.9771355693594
2011-12-25,260.3068108824504
2011-12-26,269.7353823897078
2011-12-27,254.03816251265155
2011-12-28,247.01796475758394
2011-12-29,230.91308707609792
2011-12-30,214.35063470045594
2011-12-31,215.18024942079253
2012-01-01,205.93489205271402
2012-01-02,203.50553833209142
2012-01-03,197.75714816459217
2012-01-04,198.29008608981653
2012-01-05,197.61619726612102
2012-01-06,189.63326790218483
2012-01-07,195.65525537496706
2012-01-08,206.7382432479364
2012-01-09,201.5193362617657
2012-01-10,202.04926508482856
2012-01-11,201.09497746297293
2012-01-12,198.83750966891475
2012-01-13,188.6195548330121
2012-01-14,222.51143964073563
2012-01-15,222.27448992181962
2012-01-16,227.82271321676726
2012-01-17,231.38990195493113
2012-01-18,244.86846146281624
2012-01-19,237.00325069627934
2012-01-20,233.50349975802393
2012-01-21,217.02559556757456
2012-01-22,248.2645961088098
2012-01-23,243.23597611201416
2012-01-24,237.43649175905585
2012-01-25,233.33892700504217
2012-01-26,235.20785855992074
2012-01-27,222.87303156906694
2012-01-28,220.8851206348252
2012-01-29,225.4695706340594
2012-01-30,208.8950013909216
2012-01-31,219.6527583478845
2012-02-01,218.51700729708273
2012-02-02,298.2492399687453
2012-02-03,281.95060829875115
2012-02-04,262.1339116644598
2012-02-05,261.8735987211565
2012-02-06,252.31926151106975
2012-02-07,248.81298771883868
2012-02-08,268.72064318855445
2012-02-09,245.8506019383336
2012-02-10,242.15778787387217
2012-02-11,230.76643555966461
2012-02-12,224.00066669687516
2012-02-13,244.06484123328354
2012-02-14,244.75097254091898
2012-02-15,243.84583437718376
2012-02-16,230.40862008094518
2012-02-17,247.34704467777073
2012-02-18,233.9698101788732
2012-02-19,225.77188447573977
2012-02-20,223.16307778870714
2012-02-21,225.97484008685421
2012-02-22,213.14091284411828
2012-02-23,213.6027717847769
2012-02-24,206.97291710978544
2012-02-25,213.15418553884257
2012-02-26,219.0082314948785
2012-02-27,210.05643874134188
2012-02-28,202.409538263055
2012-02-29,200.01583307062288
2012-03-01,197.94952342325257
2012-03-02,193.22920476534634
2012-03-03,193.34402538745152
2012-03-04,195.53982441891938
2012-03-05,192.7680221856932
2012-03-06,189.24537840168003
2012-03-07,196.04333307305225
2012-03-08,192.34813567013143
2012-03-09,192.41231778462205
2012-03-10,222.44704536888653
2012-03-11,222.38858166372415
2012-03-12,225.11542049194006
2012-03-13,221.9240059639652
2012-03-14,218.6272086268229
2012-03-15,210.21658078285014
2012-03-16,213.30182495058145
2012-03-17,204.0634771219815
2012-03-18,201.13106162120917
2012-03-19,204.4138154255014
2012-03-20,213.88254991387643
2012-03-21,228.5311366445285
2012-03-22,217.22180922950943
2012-03-23,216.79201418637544
2012-03-24,201.31535465743548
2012-03-25,206.77177208871748
2012-03-26,199.8194941386109
2012-03-27,200.14820995704656
2012-03-28,190.94517517092797
2012-03-29,197.47781857376737
2012-03-30,194.34571531238979
2012-03-31,196.8497201045874
2012-04-01,185.98443323716316
2012-04-02,204.8911435596487
2012-04-03,196.47575844500648
2012-04-04,190.4274210664256
2012-04-05,182.36812853120034
2012-04-06,181.3613731791467
2012-04-07,174.01753195914134
2012-04-08,170.16502564976892
2012-04-09,165.61206300727684
2012-04-10,156.56273556780786
2012-04-11,162.97455807024218
2012-04-12,163.84027942318698
2012-04-13,160.32851226022996
2012-04-14,158.1442183161482
2012-04-15,154.4633944161465
2012-04-16,201.7959149929027
2012-04-17,197.68024809694052
2012-04-18,198.69984057089036
2012-04-19,224.758032460177
2012-04-20,214.4192587667832
2012-04-21,207.10754656774736
2012-04-22,198.00376129143538
2012-04-23,201.81330144698728
2012-04-24,186.00672404304413
2012-04-25,182.47487922608755
2012-04-26,178.55793755557383
2012-04-27,173.22046308877606
2012-04-28,177.11398844629903
2012-04-29,171.48813090623517
2012-04-30,167.35456578544137
2012-05-01,164.33215579766627
2012-05-02,167.0253922645198
2012-05-03,166.28177573119007
2012-05-04,230.16389270310634
2012-05-05,290.05805296535993
2012-05-06,401.1338707272684
2012-05-07,433.7393536448056
2012-05-08,394.01110669328085
2012-05-09,339.2426400045932
2012-05-10,441.0546145949365
2012-05-11,388.2183457048781
2012-05-12,395.8595885608537
2012-05-13,450.16090169804016
2012-05-14,394.4844058598295
2012-05-15,369.3543063440426
2012-05-16,334.57013031004817
